value,ioc_type,first_seen,last_seen,malware,threat_type,reporter,features.confidence,features.has_malware,features.ioc_type,features.threat_type,features.days_since_first_seen
dc09d93c6815646ab07908d02c810efd668179f2fb43237c588657171f06a762,sha256_hash,2025-09-13 14:46:29,2025-09-15 00:26:40,win.lokipws,payload,Grim,95,1,,,
571e48a0ff77a92ed25d2986c47afcc323a7f426,sha1_hash,2025-09-13 14:46:29,2025-09-15 00:26:40,win.lokipws,payload,Grim,95,1,,,
e0ec5fea03a49113fc0f56414ecf42e7a70b9bb7,sha1_hash,2025-09-13 14:46:30,,win.luca_stealer,payload,Grim,95,1,,,
773ee0e29ffb7ce8bc75b5bc7ccb8420,md5_hash,2025-09-13 14:46:30,2025-09-15 00:26:40,win.lokipws,payload,Grim,95,1,,,
d1f54e7951c2030b9a3ae23061a23c5e51f114f0,sha1_hash,2025-09-13 14:46:31,,win.xworm,payload,Grim,95,1,,,
068782ee82a28c95bb740530b5be29bacba2f35d18f7d13dc62bca5efb640f37,sha256_hash,2025-09-13 14:46:31,,win.xworm,payload,Grim,95,1,,,
ec4e9ea0c797aa1407d93c69352b1f28,md5_hash,2025-09-13 14:46:31,,win.luca_stealer,payload,Grim,95,1,,,
d03217ad3c0e5bcaa4565151956bd52146dd1fba25586bc92b66835133ffa562,sha256_hash,2025-09-13 14:46:31,,win.luca_stealer,payload,Grim,95,1,,,
fc7b617c0317fa605e60e44a35bc6f6fb0e5d30b0cd5b0127034069bf5810317,sha256_hash,2025-09-13 14:46:32,,win.krakenkeylogger,payload,Grim,95,1,,,
41a55929da71794a57edcd9f9690e4077026f1cb,sha1_hash,2025-09-13 14:46:32,,win.krakenkeylogger,payload,Grim,95,1,,,
67af1e7c8cbbdbd05c34af5d1b5c153a,md5_hash,2025-09-13 14:46:32,,win.xworm,payload,Grim,95,1,,,
8ac1fdc40a9f98635a344803303fbd13bea0ec3c04c7570764382c31c2eeb8b6,sha256_hash,2025-09-13 14:46:33,,win.krakenkeylogger,payload,Grim,95,1,,,
2b55bcf9a99d7edcee0fd1fb9967cb9968048a3c,sha1_hash,2025-09-13 14:46:33,,win.krakenkeylogger,payload,Grim,95,1,,,
b15c5281f241d7a4f911571056f656fa,md5_hash,2025-09-13 14:46:33,,win.krakenkeylogger,payload,Grim,95,1,,,
c873cc5a95ed0f8ba73d3462e275ef1b3669fb37,sha1_hash,2025-09-13 14:46:34,,win.lokipws,payload,Grim,95,1,,,
b812cdb8e88e818a206ac067adbc9017ea3dcedb19544493858247a0cfa591dc,sha256_hash,2025-09-13 14:46:34,,win.lokipws,payload,Grim,95,1,,,
e421d623c147761040ef76428da6309c,md5_hash,2025-09-13 14:46:34,,win.krakenkeylogger,payload,Grim,95,1,,,
ca0c8e12dfdf5b00e7d399841ef51ca6571c60d9,sha1_hash,2025-09-13 14:46:35,,win.krakenkeylogger,payload,Grim,95,1,,,
